country,iso3,isoYear,postponed1,postponedDate1,heldDate,postponedDate2,specialVoting,mobileBallot,earlyVoting,pollingStation,postalVoting,proxyVoting,postponed2,heldMonth,werePostponed,heldYear,heldMonthYear,postponedMonthYear,postponedMonthYear2,postponedYear,held2020,heldAtAll,electoralViolation,stringencyPostponed,posponedDay,posponedDay2,posponedDayMonth,posponedDayMonth2,heldDay,sameDate,heldDayMonth,heldDayMonthISO,type,typeGrouped,continent,demIndex,demIndexCat,demIndexScaleX,demIndexScaleY,turnout_reg_votes,turnout_prev_el,turnoutDiffOld,turnoutDiff,incumbentWon,note,stringency_index,gdpCapita,hdi,date,day,month,dayMonth,year,turnoutCat,heldDateParsed,postponedDateParsed1,postponedDateParsed2,postponedDays1,postponedDays2,specialVotingExists,heldMonthYearDate,postponedMonthYearDate,heldDiff,turnoutStrigency,d,d1,id,position,index,x,y,vy,vx
Albania,ALB,ALB2021parliamentary,,,,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,25,,25_April,25_April_ALB_2021,parliamentary,parliamentary,Europe,6.08,democracy,4,2,46,46,0,0,yes,,54.63,11803.431,0.795,25.04.21,25,April,25_April,2021,same,,,,,,no,2021-03-31T22:00Z,,1617228000000,stringent_higher,"M23.6,31.2c-7.5-0.6-15-0.5-22.5,0.4c1-10.3,2-20.5,0.4-30.2c7.1-0.2,14.2,0,21.2,0.6C23.3,11.8,23.1,21.5,23.6,31.2z M14.3,11.3c2.1-0.2,4.1-0.2,6.2,0 M15,23.2l6-0.4 M4.8,11.6l2,2.7c1.3-2.7,3.6-4.9,6.4-6",,1,1,0,738.3636330358026,291.3731955401812,2.5297950500647734e-9,1.4845111321938238e-8
Bulgaria,BGR,BGR2021parliamentary,,,,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,4,,4_April,4_April_BGR_2021,parliamentary,parliamentary,Europe,6.71,democracy,5,2,49,54,-5,-5,no,no party was able to form a coalition,53.7,18563.307,0.816,04.04.21,4,April,4_April,2021,decrease,,,,,,no,2021-03-31T22:00Z,,1617228000000,strigent_lower,"M21.9,31.1c-6.7-0.5-13.4-0.5-20.2-0.3C2.3,21.1,2,11.3,1,1.6c7.3-0.2,14.5-0.4,21.8-0.3C21.9,11.2,21.6,21.2,21.9,31.1z M13.5,12.3c2.1-0.3,4.3-0.4,6.4-0.2 M13.1,22c2.3,0.3,4.6,0.3,6.9-0.2 M4.5,10.9c0.9,1,1.7,2.2,2.4,3.3C7.2,12,8.3,10,10.1,8.6",,2,2,1,522.3980926631989,289.6996244092544,2.3230138855915347e-9,2.3271450350351172e-9
Chad,TCD,TCD2020presedential,,,11 April,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,11,,11_April,11_April_TCD_2021,presedential,presedential,Africa,1.55,authoritarian regime,8,1,65,65,0,0,yes,,13.89,1768.153,0.398,11.04.21,11,April,11_April,2021,same,,,,,,no,2021-03-31T22:00Z,,1617228000000,notstrigent_higher,"M22.1,29.8c-6.5,0.8-13.1,1-19.6,0.6C1,20.9,0.8,11.3,1.7,1.8c7.1-0.9,14.2-0.6,21.2,0.9C23.4,11.7,23.1,20.8,22.1,29.8z M14.2,12c1.9,0.1,3.7,0,5.5-0.5 M14.5,21.6l5.5-0.4 M4.4,11.2c1.1,1,2.1,2.3,2.8,3.6c0.3-2.7,1.7-5.1,4-6.6",,3,3,2,630.3639498869265,291.63467355469635,5.4221788479989744e-9,1.4472628967316426e-8
Ecuador,ECU,ECU2021presedentialSecond,,,,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,11,,11_April,11_April_ECU_2021,presedential,presedential,Americas,6.13,democracy,3,3,84,82,2,2,doesnt apply,second round,65.28,10581.936,0.759,11.04.21,11,April,11_April,2021,increase,,,,,,no,2021-03-31T22:00Z,,1617228000000,stringent_higher,"M20.2,30.1c-6.1-0.8-12.3-0.8-18.5,0C1.3,20.4,1.3,10.9,1.4,1.3c7.2,0.1,14.4,0.2,21.4,0.8C21.7,11.6,20.8,21.1,20.2,30.1z M13.2,11.1l6.4-0.4 M12.9,22.9l4.8,0.2 M4.5,8.4c0.3,1.8,1,3.5,2.2,4.8c0.4-2.7,1.9-5.2,4-7",,4,4,3,776.6438845249279,216.0421770208286,1.9610151910161225e-9,-2.585867830591066e-9
Kyrgyzstan,KGZ,KGZ2021referendum,,,,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,11,,11_April,11_April_KGZ_2021,referendum,referendum,Asia-Pacific,,unclassified,3,10,,,,,,,58.33,3393.474,0.697,11.04.21,11,April,11_April,2021,unknown,,,,,,no,2021-03-31T22:00Z,,1617228000000,stringent_higher,"M25,30.9C17.4,30.2,9.8,30,2.2,30.2C3.4,20.6,2.9,10.9,1,1.5c8-0.1,16-0.1,24-0.1C24.3,11.2,24.3,21.1,25,30.9z M15,11.5l6.4-0.3 M14.4,21.7c2.4-0.3,4.8-0.4,7.1-0.1 M6.6,10.6l2.6,2.8L11.8,7",,5,5,4,684.330591482754,322.74360358857655,-1.990988858905893e-9,-2.5955901003569716e-9
Peru,PER,PER2021both,,,,,,,,,,,,April,no,2021,April 2021,,,,,yes,,,,,,,11,,11_April,11_April_PER_2021,parliamentary,both,Americas,6.53,democracy,5,5,70,74,-4,-4,no,,80.56,12236.706,0.777,11.04.21,11,April,11_April,2021,decrease,,,,,,no,2021-03-31T22:00Z,,1617228000000,strigent_lower,"M22.9,29.9c-7-0.3-13.9-1.7-20.5-4C3.5,17.2,5.3,9,7.2,1.2C13.3,2.1,19.4,3,25.5,4.2C25.7,13,24.7,21.8,22.9,29.9z","M22.2,31.3c-6.5,0.1-12.9,0.2-19.4,0.3C1.9,23,1.4,14.9,1.3,7.1C7.5,6.2,13.7,6,19.9,6.8C20.2,14.9,20.6,22.9,22.2,31.3z M4.5,12.4c0.7,1.2,1.4,2.4,2.1,3.7c0.9-2.2,1.7-4.4,3.2-6 M12.5,12.8c1.3,0.2,2.6,0.3,3.9,0.5 M13.3,23.5c1.4-0.2,2.9-0.3,4.3-0.3",6,6,5,558.368427701907,291.1607848105093,-4.931537061797875e-10,-7.96238409800444e-9
Algeria,DZA,DZA2021parliamentary,,,,,,,,,,,,June,no,2021,June 2021,,,,,yes,,,,,,,12,,12_June,12_June_DZA_2021,parliamentary,parliamentary,Africa,3.77,authoritarian regime,8,2,23,37,-14,-14,yes,,50.46,13913.839,0.748,12.06.21,12,June,12_June,2021,decrease,,,,,,no,2021-05-31T22:00Z,,1622498400000,strigent_lower,"M23.8,30.5c-7.1,1-14.3,1-21.4-0.1C1.2,20.8,1,11,1.9,1.3c7.7,0.1,15.4,0.2,23,0.6C24.6,11.6,24,21.3,23.8,30.5z M15.6,10.9c1.7-0.2,3.3-0.2,5,0 M16,21.2c1.8,0.2,3.5,0.2,5.3,0 M5.2,9.7c0.3,0.9,0.7,1.8,1.2,2.6c0.1,0.2,0.2,0.3,0.4,0.3s0.4-0.2,0.5-0.4c0.4-1.1,1-2.1,1.5-3.1c0.6-1,1.6-1.7,2.7-1.9",,1,1,6,310.02282780540725,255.42358291358994,-2.0323843139541205e-10,-3.9125007471581935e-10
Armenia,ARM,ARM2021parliamentary,,,20 June 2021,,,,,,,,,June,no,2021,June 2021,,,,,yes,,,,,,,20,,20_June,20_June_ARM_2021,parliamentary,parliamentary,Europe,5.35,hybrid regime,8,10,49,49,0,0,yes,as scheduled earlier in 2021 because of the crisis,,8787.58,0.776,20.06.21,20,June,20_June,2021,same,2021-06-19T22:00Z,,,,,no,2021-05-31T22:00Z,,1622498400000,notstrigent_higher,"M21.9,31.7L1.7,30.9c0.1-10,0-19.9-0.6-29.7C8.6,2.1,16,2.4,23.5,2.2C22.2,12,21.7,21.9,21.9,31.7z M13.8,11.9c1.9-0.1,3.7-0.1,5.6,0.1 M13.3,24.4l6.7-0.1 M5.3,10.9l1.4,1.5c0.1,0.1,0.2,0.2,0.3,0.2s0.2-0.1,0.3-0.2c0.5-0.9,0.9-1.9,1.4-2.7C9.2,8.8,10,8.1,11,7.8",,2,2,7,634.1900932752662,164.87220433283412,-2.4451491887443245e-10,8.876695806278336e-10
Ethiopia,ETH,ETH2021parliamentary,August,29 August 2020,21 June 2021,,,,,,,,,June,yes,2021,June 2021,August 2020,,2020,no,yes,some,80.56,29,,29.Aug,,21,,21_June,21_June_ETH_2021,parliamentary,parliamentary,Africa,3.38,authoritarian regime,11,1,,,,,yes,,43.52,1729.927,0.485,21.06.21,21,June,21_June,2021,unknown,2021-06-20T22:00Z,2020-08-28T22:00Z,,296,,no,2021-05-31T22:00Z,2020-07-31T22:00Z,26265600000,notstrigent_higher,"M21.2,31.6c-6.8-0.4-13.7-0.5-20.6,0C1.3,21,1.3,11,1.1,1.1c7.1,0.1,14.3,0.1,21.4,0.5C21.9,11.7,21.3,21.8,21.2,31.6z M13.1,11.6c1.9-0.3,3.9-0.4,5.8-0.2 M12.7,22l6.5-0.1 M4.6,11.3c1,0.7,1.7,1.9,2,3.1c0.8-2.2,1.9-4.2,3.2-6.1c0.3-0.6,0.9-1.1,1.6-1.3",,3,3,8,652.4164871978863,258.35909410616387,4.13238897090442e-9,-8.956280326796933e-10
Iran,IRN,IRN2021presedential,,,,,,,,,,,,June,no,2021,June 2021, ,,,,yes,,,,,,,18,,18_June,18_June_IRN_2021,presedential,presedential,Middle East,2.2,authoritarian regime,8,4,48,73,-25,-25,doesnt apply,second round,74.54,19082.62,0.783,18.06.21,18,June,18_June,2021,decrease,,,,,,no,2021-05-31T22:00Z,,1622498400000,strigent_lower,"M22.4,29.9L1.4,30C0.8,20.4,1.1,10.8,2.3,1.3c6.9,0.1,13.8,0.2,20.8,0.7C22.6,11.6,22.3,21.2,22.4,29.9z M14.4,11c2-0.1,3.9,0,5.9,0.1 M14.2,21.7c1.8,0.1,3.7,0.1,5.5-0.1 M5.2,10.4l2.4,3.2c1.1-2.3,2.5-4.4,4.2-6.3",,4,4,9,10.000000000000002,306,4.5677931602621356e-15,-3.313199454871566e-25
Mexico,MEX,MEX2021parliamentary,,,,,,,,,,,,June,no,2021,June 2021,,,,,yes,,,,,,,6,,6_June,6_June_MEX_2021,parliamentary,parliamentary,Americas,6.07,hybrid regime,11,11,53,63,,,yes,,44.44,17336.469,0.779,06.06.21,6,June,6_June,2021,unknown,,,,,,no,2021-05-31T22:00Z,,1622498400000,notstrigent_higher,"M22.6,30.6c-6.8,0.7-13.6,0.7-20.4,0C0.9,20.9,0.7,11.1,1.6,1.4C8.7,1.2,15.9,1.4,23.1,2C22.5,11.6,22,21.2,22.6,30.6z M12.8,12.2h6.3 M13.1,23.8c2-0.1,3.9,0,5.9,0.3 M4.3,11c1,0.6,1.8,1.6,2.2,2.7c0.3-1.2,0.7-2.3,1.3-3.4c0.6-1.1,1.6-1.9,2.7-2.2",,5,5,10,738.4059154441891,353.7896876472842,6.555497778146271e-9,6.369324509167399e-9
